Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
Moe F,2014-06-18 07:05:20,5,1,"I know there're many 'Unknown temples' which has really nice garden and musiam all over the world. Koru-ji is one of the temples in Kyoto.
It has many famous statues there like Hanka Shiyui Zou which is so famous that everyone knows it in History textbook.
I really like this place. As my personal opinion, it's highly recomendable.",no,,view review
Hiroto Kato,2014-09-14 05:46:15,5,0,So beautiful!:),no,,view review
xu huang,2016-01-17 22:56:42,5,0,Super nice place ~,no,,view review
Trans-word plus TGM,2016-07-27 11:36:21,5,3,"The highlight of this temple is a large statue hall of Bodhisattva. The temple contains a number of important pieces of cultural heritage. One of national treasures in Japan is a wooden image of the Bodhisattva Maitreya sitting contemplatively in the half-lotus position, called ""Hōkan Miroku"" (宝冠弥勒). It is a very rare object which is carefully preserved and displayed at Kōryū-ji. No photo shooting is allowed in this hall. These photos above are adopted from other resources on the Internet. The entrance fee is 700 yen for adults. ( Trans-word+ : TGM Kyoto Guide )",no,,view review
X D,2017-05-06 15:04:20,4,1,"Very quiet Temple, very beautiful Rhododendron in the evening on May.



",yes,,view review
まっちゃん,2018-05-29 06:48:46,5,1," The first National Treasure, Maitreya Bodhisattva, is very famous, but the statues of the Four Heavenly Kings, the Twelve Divine Generals, and the Thousand-armed Kannon statue are worth seeing. I wish the lighting was a little brighter. Also, the Buddha is definitely an object of worship before it is a work of art, so visitors should keep quiet. In particular, a group of Asian tourists who are frowning here and there because of their loud voices. Really...

",yes,Japanese,view review
メカパンダ,2018-11-26 16:13:11,5,0," It is a place worth going just to see the National Treasure No. 1 Miroku Bodhisattva statue.
In addition to the statue of Maitreya Bodhisattva, you can see many national treasures and important cultural property class Buddha statues, but photography is prohibited.
The goshuin is a stamp.
The nearest station, Uzumasa Koryu-ji Temple, is also popular for train photography.

",yes,Japanese,view review
あまのじゃく,2018-12-23 16:32:16,5,1," Koryu-ji Reihoden is really solemn.
It is not in a glass case, etc.
You can feel it as it is.
After all,
Miroku Kannon Bodhisattva, the first national treasure,
Your gentle face cleanses your heart.
In front of you, there is a place where you can sit on tatami mats,
If there are not many people, sit down for a while,
When you feel the energy released by Maitreya Bodhisattva
I was in tears.

and turn around
A large thousand-armed Kanzeon Bodhisattva
There are three. Overwhelmed.
And the Twelve Divine Generals and Yakushi Nyorai
Standing in line
Such an amazing temple
Relatively few people in Kyoto
I think it's a temple.

This is a place I always stop by when I come to Kyoto.

",yes,Japanese,view review
Wm Emery,2019-01-09 05:05:56,5,0,Beautiful temple complex with oldest surviving building in Kyoto.,no,,view review
sei chang,2019-01-17 02:47:49,5,0," The Buddha statues that you can see, including Maitreya Bodhisattva, are wonderful.
I can watch it for hours lol
It was quiet and had a good atmosphere.

",yes,Japanese,view review
Camry 2104,2019-01-19 08:28:06,5,0," This ancient temple was built in the 11th year of Emperor Suiko (603), and is said to be one of the Seven Great Temples built by Prince Shotoku. The statue of Miroku Bodhisattva, which is the first National Treasure, is very famous. Even if you try to know more about it, you will be wrapped in a vague feeling. I don't think it makes sense to stick to the history of this Buddha. I don't think there is any other statue of Buddha with such dignity, and the fact that it has been so deeply revered by so many people for 1,400 years is enough.
Speaking of Koryu-ji Temple, it may be said that the Niomon Gate, which can be seen from Randen, is the most familiar. The front of the gate that feels like a commoner, the precincts that make you feel the Asuka period, and the Prince's faith. Although it is small, it is a temple with endless charm.

",yes,Japanese,view review
Daniel Y. Hwang,2019-02-06 05:20:49,5,0,You can know how much korean culture had given influences to japan.,no,,view review
